category;criteria_txt;danger;date_inscribed;extension;http_url;id_number;image_url;iso_code;justification;latitude;location;longitude;region;revision;secondary_dates;short_description;site;states;transboundary;unique_number
Natural;(ix);;2007;1;https://whc.unesco.org/en/list/1133;1133;https://whc.unesco.org/uploads/sites/site_1133.jpg;al,at,be,bg,hr,de,it,ro,sk,si,es,ua;;49.0097222222;;22.3388888889;Europe and North America;0;2011,2017;;;Albania,Austria,Bélgica,Bulgaria,Croacia,Alemania,Italia,Rumania,Eslovaquia,Eslovenia,España,Ucrania;1;2152
Mixed;(i)(iii)(iv)(vii);;1979;1;https://whc.unesco.org/en/list/99;99;https://whc.unesco.org/uploads/sites/site_99.jpg;al,mk;;40.9918333333;Ohrid (municipality);20.7041666667;Europe and North America;0;2019,1980;En 1979 se inscribió en la Lista del Patrimonio Mundial el sitio formado por la ribera del lago Ohrid situada en Macedonia del Norte, así como la ciudad de este mismo nombre y la región circundante. Con la actual extensión, el sitio abarca ahora la ribera del lago situada en Albania, comprendida la pequeña península noroccidental de Lin y la franja ribereña que se extiende desde ella hasta la frontera macedónica. Esta península alberga los vestigios de una capilla cristiana fundada a mediados del siglo VI. Cerca de la orilla albanesa hay tres zonas, situadas en aguas de escasa profundidad, en las que quedan restos de viviendas lacustres prehistóricas sobre pilotes. Excepcional en el plano geológico, el lago Ohrid alberga numerosas especies endémicas de vegetales y animales acuáticos que datan de la Era Terciaria.;Patrimonio natural y cultural de la región de Ohrid;Albania,Macedonia del Norte;1;2313
Cultural;(i)(iv);;2004;0;https://whc.unesco.org/en/list/1127;1127;https://whc.unesco.org/uploads/sites/site_1127.jpg;de,pl;La creación de este parque paisajístico de 559,90 hectáreas – que se extiende por las dos orillas del río Neisse, a ambos lados de la frontera entre Polonia y Alemania – duró desde 1815 hasta 1844 y se debió a la iniciativa del Príncipe Hermann von Puckler-Muskau. El parque, que se integra perfectamente en las tierras de cultivo circundantes, fue el precursor de nuevos métodos de diseño paisajístico que influyeron de manera determinante en el desarrollo de esta disciplina, tanto en Europa como en América. Diseñado como una “pintura con plantas”, no intenta imitar los jardines clásicos ni evocar paraísos vegetales perdidos o alcanzar un pretendido perfeccionismo botánico, sino que utiliza la flora local para realzar la belleza inherente al paisaje. El parque penetra incluso en la ciudad de Muskau, formando zonas verdes que enmarcan las áreas urbanizadas y haciendo de la ciudad un componente de un paisaje utópico. El sitio posee también un castillo restaurado, así como varios puentes y un arboreto.;51.5793055600;;14.7264444400;Europe and North America;0;;La creación de este parque paisajístico de 559,90 hectáreas – que se extiende por las dos orillas del río Neisse, a ambos lados de la frontera entre Polonia y Alemania – duró desde 1815 hasta 1844 y se debió a la iniciativa del Príncipe Hermann von Puckler-Muskau. El parque, que se integra perfectamente en las tierras de cultivo circundantes, fue el precursor de nuevos métodos de diseño paisajístico que influyeron de manera determinante en el desarrollo de esta disciplina, tanto en Europa como en América. Diseñado como una “pintura con plantas”, no intenta imitar los jardines clásicos ni evocar paraísos vegetales perdidos o alcanzar un pretendido perfeccionismo botánico, sino que utiliza la flora local para realzar la belleza inherente al paisaje. El parque penetra incluso en la ciudad de Muskau, formando zonas verdes que enmarcan las áreas urbanizadas y haciendo de la ciudad un componente de un paisaje utópico. El sitio posee también un castillo restaurado, así como varios puentes y un arboreto.;Parque Muskau / Parque Muzakowski;Alemania,Polonia;1;1307
Cultural;(ii)(iii)(iv);;1987;1;https://whc.unesco.org/en/list/430;430;https://whc.unesco.org/uploads/sites/site_430.jpg;de,gb;;54.9926111111;;-2.6010000000;Europe and North America;0;2005,2008;Este sitio está compuesto por dos secciones de la frontera del Imperio Romano (“limes romanus”) que datan del apogeo de éste (siglo II) y se extienden a lo largo de 550 km por Alemania, siguiendo un eje noroeste-sureste hasta la región del Danubio. El sitio se ha inscrito como extensión de la Muralla de Adriano (Reino Unido), que ya figuraba en la Lista del Patrimonio Mundial desde 1987. El “limes romanus” tenía una longitud total de 5.000 km y atravesaba toda Europa desde la costa atlántica septentrional de la Gran Bretaña hasta el Mar Negro. Desde aquí su trazado se orientaba hacia el Mar Rojo para pasar luego por África del Norte hasta alcanzar de nuevo la costa del Atlántico. Las dos secciones del “limes” comprenden vestigios de murallas, fosos, fuertes, ciudadelas, atalayas y viviendas civiles. Algunos de estos elementos se han descubierto en el transcurso de excavaciones arqueológicas o se han reconstruido, mientras que otros se han perdido para siempre. La Muralla de Adriano (Reino Unido), que tiene una longitud de 118 km, es un ejemplo notable de la manera en que se organizaba una zona militar en la Roma antigua.;Fronteras del Imperio Romano;Alemania,Reino Unido de Gran Bretaña e Irlanda del Norte;1;1539
Cultural;(ii)(iii)(iv)(vi);;2014;0;https://whc.unesco.org/en/list/1459;1459;https://whc.unesco.org/uploads/sites/site_1459.jpg;ar,bo,cl,co,ec,pe;;-18.2500000000;;-69.5916666667;Latin America and the Caribbean;0;;"Se trata de una vasta red viaria de unos 30.000 kilómetros construida a lo largo de varios siglos por los incas –aprovechando en parte infraestructuras preincaicas ya existentes– con vistas a facilitar las comunicaciones, los transportes y el comercio, y también con fines defensivos. Este extraordinario sistema de caminos se extiende por una de las zonas geográficas del mundo de mayores contrastes, desde las cumbres nevadas de los Andes que se yerguen a más de 6.000 metros de altitud hasta la costa del Pacífico, pasando por bosques tropicales húmedos, valles fértiles y desiertos de aridez absoluta. La red viaria alcanzó su máxima expansión en el siglo XV, llegando a extenderse por todo lo largo y ancho de la cordillera andina. El nuevo sitio del patrimonio mundial, que consta de 274 componentes y se extiende a lo largo de más de 5.000 kilómetros. Los componentes se han seleccionado para poner de relieve la importante función social y política de la red viaria; las obras maestras de arquitectura e ingeniería y las infraestructuras conexas dedicadas a las actividades mercantiles, el alojamiento y el almacenamiento de mercancías; y los sitios con un significado religioso.";Qhapaq Ñan - Sistema vial andino;Argentina,Bolivia (Estado Plurinacional de),Chile,Colombia,Ecuador,Perú;1;2003
Cultural;(iv);;1983;1;https://whc.unesco.org/en/list/275;275;https://whc.unesco.org/uploads/sites/site_275.jpg;ar,br;;-28.5433333300;"State of Rio Grande do Sul, Brazil; Province of Misiones, Argentina";-54.2658333300;Latin America and the Caribbean;0;1984;En el corazón mismo de la selva tropical están ubicadas las ruinas de cinco misiones jesuitas: San Miguel de las Misiones (Brasil), San Ignacio Miní, Santa Ana, Nuestra Señora de Loreto y Santa María la Mayor (Argentina). Construidas en territorio guaraní durante los siglos XVII y XVIII, estas misiones se caracterizan por su trazado específico y su desigual estado de conservación.;Misiones jesuíticas de los guaraníes: San Ignacio Miní, Santa Ana, Nuestra Señora de Loreto y Santa María la Mayor (Argentina), ruinas de Sao Miguel das Missoes (Brasil);Argentina,Brasil;1;326
Cultural;(iv)(v);;2011;0;https://whc.unesco.org/en/list/1363;1363;https://whc.unesco.org/uploads/sites/site_1363.jpg;at,fr,de,it,si,ch;;47.2783333333;;8.2075000000;Europe and North America;0;;Este sitio comprende 111 lugares con vestigios de asentamientos humanos prehistóricos en palafitos, esto es, viviendas edificadas sobre pilotes. Situados dentro de la zona de los Alpes y en su entorno, esos vestigios datan del periodo comprendido entre el quinto milenio y el siglo V a.C. y están situados a orillas de lagos, ríos y pantanos. Las excavaciones arqueológicas, efectuadas solamente en algunos lugares hasta la fecha, han proporcionado elementos que dan una visión de la vida diaria del hombre del Neolítico y de la Edad de Bronce en la Europa Alpina, así como de su interacción con el medio ambiente. En Suiza se hallan cincuenta y seis de los lugares que integran el sitio. Estos asentamientos humanos, que forman un conjunto único de vestigios arqueológicos excepcionalmente bien conservados y extraordinariamente ricos en el plano cultural, constituyen una de las más importantes fuentes para el estudio de las sociedades agrarias primitivas de la región.;Palafitos del entorno de los Alpes;Austria,Francia,Alemania,Italia,Eslovenia,Suiza;1;1782
Cultural;(v);;2001;0;https://whc.unesco.org/en/list/772;772;https://whc.unesco.org/uploads/sites/site_772.jpg;at,hu;Encrucijada distintas culturas durante ocho milenios como lo demuestra su variedad, el paisaje de la región del lago Fertí¶-Neusiedlersee es producto de un proceso evolutivo y simbiótico de interacción del ser humano y su entorno fí­sico. La excepcional arquitectura rural de las aldeas que bordean las riberas del lago y la majestuosidad de varios palacios de los siglos XVIII y XIX, aumentan el interés cultural de este sitio.;47.7192777800;State of Burgenland (AT) / County of Györ-Moson-Sopron (HU);16.7227222200;Europe and North America;1;;Encrucijada distintas culturas durante ocho milenios como lo demuestra su variedad, el paisaje de la región del lago Fertí¶-Neusiedlersee es producto de un proceso evolutivo y simbiótico de interacción del ser humano y su entorno fí­sico. La excepcional arquitectura rural de las aldeas que bordean las riberas del lago y la majestuosidad de varios palacios de los siglos XVIII y XIX, aumentan el interés cultural de este sitio.;Paisaje cultural de Fertö/Neusiedlersee;Austria,Hungría;1;913
Cultural;(ii)(iv)(vi);;2005;0;https://whc.unesco.org/en/list/1187;1187;https://whc.unesco.org/uploads/sites/site_1187.jpg;by,ee,fi,lv,lt,no,md,ru,se,ua;El arco geodésico de Struve es un conjunto de triangulaciones que se extiende por diez países, a lo largo de 2.820 km, desde Hammerfest (Noruega) hasta el Mar Negro. Compuesto por los puntos de la triangulación realizada entre 1816 y 1855 por el astrónomo Friedrich Georg Wilhelm Struve, este arco permitió realizar la primera medición precisa de un largo segmento del meridiano terrestre. Esta triangulación contribuyó a definir y medir la forma exacta de la Tierra y desempeñó un papel importante en el adelanto de las ciencias geológicas y la realización de mapas topográficos precisos. Es una muestra extraordinaria de la colaboración científica entre sabios de distintos países, así como un ejemplo de cooperación entre varios monarcas europeos en pro del progreso científico. El arco primigenio estaba constituido por 258 triángulos y 265 puntos fijos principales. El sitio inscrito en la Lista del Patrimonio Mundial comprende 34 de los puntos fijos originales señalados por medios diferentes: perforaciones en rocas, cruces de hierro, túmulos y obeliscos.;59.0577777778;;26.3377777777;Europe and North America;0;;El arco geodésico de Struve es un conjunto de triangulaciones que se extiende por diez países, a lo largo de 2.820 km, desde Hammerfest (Noruega) hasta el Mar Negro. Compuesto por los puntos de la triangulación realizada entre 1816 y 1855 por el astrónomo Friedrich Georg Wilhelm Struve, este arco permitió realizar la primera medición precisa de un largo segmento del meridiano terrestre. Esta triangulación contribuyó a definir y medir la forma exacta de la Tierra y desempeñó un papel importante en el adelanto de las ciencias geológicas y la realización de mapas topográficos precisos. Es una muestra extraordinaria de la colaboración científica entre sabios de distintos países, así como un ejemplo de cooperación entre varios monarcas europeos en pro del progreso científico. El arco primigenio estaba constituido por 258 triángulos y 265 puntos fijos principales. El sitio inscrito en la Lista del Patrimonio Mundial comprende 34 de los puntos fijos originales señalados por medios diferentes: perforaciones en rocas, cruces de hierro, túmulos y obeliscos.;Arco geodésico de Struve;Belarrús,Estonia,Finlandia,Letonia,Lituania,Noruega,República de Moldova,Federación de Rusia,Suecia,Ucrania;1;1364
Natural;(ix)(x);;1979;1;https://whc.unesco.org/en/list/33;33;https://whc.unesco.org/uploads/sites/site_33.jpg;by,pl;;52.7275000000;;23.9811111111;Europe and North America;0;1992,2014;El sitio del patrimonio mundial del Bosque de Bialowieża, situado en la frontera entre Polonia y Belarrús, abarca una vasta extensión de bosques arcaicos de hoja perenne y caduca de una superficie total de 141.885 hectáreas. Situado en la divisoria entre las cuencas de los ríos que van a parar al Báltico y el Mar Negro, este sitio transfronterizo es único en su género para la conservación de la biodiversidad. Alberga la mayor población existente de bisonte europeo, especie animal emblemática de la región.;Bosque de Bialowieża;Belarrús,Polonia;1;2005
