category;criteria_txt;danger;date_inscribed;extension;http_url;id_number;image_url;iso_code;justification;latitude;location;longitude;region;revision;secondary_dates;short_description;site;states;transboundary;unique_number
Natural;(ix);;2007;1;https://whc.unesco.org/fr/list/1133;1133;https://whc.unesco.org/uploads/sites/site_1133.jpg;al,at,be,bg,hr,de,it,ro,sk,si,es,ua;;49.0097222222;;22.3388888889;Europe et Amérique du nord;0;2011,2017;Ce bien transnationale s’étend sur 12 pays. Depuis la fin de la dernière période glaciaire, le hêtre d’Europe s’est répandu à partir de quelques refuges isolés dans les Alpes, les Carpates, les Dinarides, la Méditerranée et les Pyrénées, en l’espace de quelques milliers d’années, un processus qui se poursuit encore aujourd’hui. Le succès de la progression du hêtre s’explique par son adaptabilité et sa tolérance à différentes conditions climatiques, géographiques et physiques.;Forêts primaires et anciennes de hêtres des Carpates et d’autres régions d’Europe;Albanie,Autriche,Belgique,Bulgarie,Croatie,Allemagne,Italie,Roumanie,Slovaquie,Slovénie,Espagne,Ukraine;1;2152
Mixed;(i)(iii)(iv)(vii);;1979;1;https://whc.unesco.org/fr/list/99;99;https://whc.unesco.org/uploads/sites/site_99.jpg;al,mk;;40.9918333333;"                    
          
          ";20.7041666667;Europe et Amérique du nord;0;2019,1980;Phénomène naturel exceptionnel, le lac d’Ohrid sert de refuge à de nombreuses espèces endémiques de faune et de flore d’eau douce datant du Tertiaire. Édifiée au bord du lac, la ville d’Ohrid est l’un des plus anciens établissements humains d’Europe. Elle a été essentiellement construite entre le VIIe and le XIXe siècle et abrite le plus ancien monastère slave (consacré à saint Pantaléon) ainsi que 800 icônes de style byzantin réalisées entre le XIe et la fin du XIVe siècle. Dans les eaux peu profondes près des rives du lac, trois sites témoignent de la présence d’habitations sur pilotis préhistoriques, et sur la petite péninsule de Lin se trouvent les vestiges d’une chapelle chrétienne fondée au milieu du VIe siècle.;Patrimoine naturel et culturel de la région d’Ohrid;Albanie,Macédoine du Nord;1;2313
Cultural;(i)(iv);;2004;0;https://whc.unesco.org/fr/list/1127;1127;https://whc.unesco.org/uploads/sites/site_1127.jpg;de,pl;Ce parc paysager de 559,90 ha, situé de part et d’autre de la Neisse et de la frontière germano-polonaise, a été créé par le prince Hermann von Pückler-Muskau entre 1815 et 1844. S’inscrivant harmonieusement dans le paysage agricole environnant, ce parc inaugura de nouvelles conceptions paysagères et influença le développement de l’architecture paysagère en Europe et en Amérique. Conçu comme un « tableau de verdure », il ne cherchait pas à évoquer un paysage classique, une image de l’Éden ou quelque perfection perdue, mais exploitait la flore locale pour exalter les qualités intrinsèques du paysage existant. Ce paysage intégré se prolonge jusqu’à la ville de Muskau, avec des zones de verdure constituant des parcs urbains qui encadraient les zones urbanisées. La ville devenait ainsi une des composantes d’un paysage utopique. Le site comprend également un château reconstruit, des ponts et un arboretum.;51.5793055600;"          Comté de Lubuskie, région de Zary, ville de Leknica, Pologne<br>
<I>et</I><br>
Saxe, district de Oberlausitz, ville de Bad Muskau, Allemagne
          ";14.7264444400;Europe et Amérique du nord;0;;Ce parc paysager de 559,90 ha, situé de part et d’autre de la Neisse et de la frontière germano-polonaise, a été créé par le prince Hermann von Pückler-Muskau entre 1815 et 1844. S’inscrivant harmonieusement dans le paysage agricole environnant, ce parc inaugura de nouvelles conceptions paysagères et influença le développement de l’architecture paysagère en Europe et en Amérique. Conçu comme un « tableau de verdure », il ne cherchait pas à évoquer un paysage classique, une image de l’Éden ou quelque perfection perdue, mais exploitait la flore locale pour exalter les qualités intrinsèques du paysage existant. Ce paysage intégré se prolonge jusqu’à la ville de Muskau, avec des zones de verdure constituant des parcs urbains qui encadraient les zones urbanisées. La ville devenait ainsi une des composantes d’un paysage utopique. Le site comprend également un château reconstruit, des ponts et un arboretum.;Parc de Muskau / Parc Mużakowski;Allemagne,Pologne;1;1307
Cultural;(ii)(iii)(iv);;1987;1;https://whc.unesco.org/fr/list/430;430;https://whc.unesco.org/uploads/sites/site_430.jpg;de,gb;;54.9926111111;"          
          ";-2.6010000000;Europe et Amérique du nord;0;2005,2008;Le « limes romain » représente la ligne frontière de l’Empire romain à son apogée au IIe siècle apr. J.-C. Le limes s’étendait sur 5 000 km depuis la côte atlantique au nord de la Grande-Bretagne, traversant l’Europe jusqu’à la mer Noire et, de là, jusqu’à la mer Rouge et l’Afrique du Nord, pour revenir à la côte atlantique. Il s’agit de vestiges de murs bâtis, de fossés, de forts, de forteresses, de tours de guet et d’habitations civiles. Certains éléments de la ligne ont été découverts lors de fouilles, d’autres reconstruits et quelques-uns détruits. Les deux tronçons du limes en Allemagne couvrent une distance de 550 km depuis le nord-ouest de l’Allemagne jusqu’au Danube au sud-est du pays. Le mur d’Hadrien (Royaume Uni), long de 118 km, a été construit sous les ordres de l’empereur Hadrien en 122 apr. J.-C., à l’extrémité nord des frontières de la province romaine Britannia. C’est un exemple remarquable d’organisation d’une zone militaire qui illustre les techniques défensives et les stratégies géopolitiques de la Rome ancienne. Le mur d’Antonin, une fortification de 60 km de long située en Ecosse, fut commencé sous l’empereur Antonius Pius en 142 apr. J.-C. comme une défense contre les « barbares » venus du Nord. Il représente le tronçon situé le plus au nord-ouest du « limes romain ».;Frontières de l’Empire romain;Allemagne,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;1;1539
Cultural;(ii)(iii)(iv)(vi);;2014;0;https://whc.unesco.org/fr/list/1459;1459;https://whc.unesco.org/uploads/sites/site_1459.jpg;ar,bo,cl,co,ec,pe;;-18.2500000000;;-69.5916666667;Amérique latine et Caraïbes;0;;Ce grand réseau de routes de communication, de commerce et de défense parcourt plus de 30 000 km. Construit par les Incas sur plusieurs siècles et en partie basé sur une infrastructure préinca, ce réseau extraordinaire traversant l’un des terrains géographiques les plus difficiles du monde relie les sommets enneigés des Andes (à plus de 6 000 m) à la côte en passant par des forêts tropicales humides, des vallées fertiles et des déserts. Le Qhapac Ñan qui a atteint son extension maximale au XVe siècle s’étendait sur toute la longueur et la largeur des Andes. Le bien comprend 273 sites individuels s’étendant sur plus de 6 000 km. Ils ont été choisis pour illustrer les réalisations architecturales, techniques, politiques, sociales du réseau ainsi que son infrastructure associée, destinée au commerce, à l’hébergement et au stockage des marchandises, et des sites d’importance religieuse.;Qhapaq Ñan, réseau de routes andin;Argentine,Bolivie (État plurinational de),Chili,Colombie,Équateur,Pérou;1;2003
Cultural;(iv);;1983;1;https://whc.unesco.org/fr/list/275;275;https://whc.unesco.org/uploads/sites/site_275.jpg;ar,br;;-28.5433333300;;-54.2658333300;Amérique latine et Caraïbes;0;1984;Au cœur de la forêt tropicale, les ruines de São Miguel das Missoes, au Brésil, et celles de San Ignacio Mini, de Santa Ana, de Nuestra Señora de Loreto et de Santa Maria la Mayor, en Argentine, sont les remarquables vestiges de cinq missions jésuites édifiées aux XVIIe et XVIIIe siècles sur le territoire des Guaranis, chacune d’entre elles se caractérisant par ses dispositions particulières et un état de conservation inégal.;Missions jésuites des Guaranis : San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto et Santa Maria Mayor (Argentine), ruines de Sao Miguel das Missoes (Brésil);Argentine,Brésil;1;326
Cultural;(iv)(v);;2011;0;https://whc.unesco.org/fr/list/1363;1363;https://whc.unesco.org/uploads/sites/site_1363.jpg;at,fr,de,it,si,ch;;47.2783333333;"            
            ";8.2075000000;Europe et Amérique du nord;0;;"Ce bien en série regroupe 111 sites où se trouvent des vestiges d'établissements préhistoriques palafittiques (sur pilotis) dans et autour des Alpes. Datant d'environ 5 000 à environ 500 av. J.-C., ils sont situés sur les bords de lacs, de rivières ou de terres marécageuses. Seul un petit nombre ont été fouillés mais ils ont fourni des éléments qui donnent un aperçu de la vie quotidienne dans l'Europe alpine du Néolithique et de l'Age de bronze, ainsi que des informations sur la façon dont les communautés interagissaient avec leur environnement. Cinquante-six sites se trouvent en Suisse. Ces établissements constituent un groupe unique de sites archéologiques particulièrement riches et très bien conservés ; ils représentent des sources importantes pour l'étude des premières sociétés agraires de la région.";Sites palafittiques préhistoriques autour des Alpes;Autriche,France,Allemagne,Italie,Slovénie,Suisse;1;1782
Cultural;(v);;2001;0;https://whc.unesco.org/fr/list/772;772;https://whc.unesco.org/uploads/sites/site_772.jpg;at,hu;Carrefour culturel depuis huit millénaires comme en atteste la variété de son paysage, le paysage culturel de Fertö/Neusiedlersee est né d’un processus évolutif et symbiotique d’interaction entre l’homme et son environnement physique. La remarquable architecture rurale des villages du pourtour du lac et plusieurs palais datant des XVIIIe et XIXe siècles ajoutent au grand intérêt culturel de ce site.;47.7192777800;"Burgenland, Autriche

				Comté de Györ-Moson-Sopron, Hongrie";16.7227222200;Europe et Amérique du nord;1;;Carrefour culturel depuis huit millénaires comme en atteste la variété de son paysage, le paysage culturel de Fertö/Neusiedlersee est né d’un processus évolutif et symbiotique d’interaction entre l’homme et son environnement physique. La remarquable architecture rurale des villages du pourtour du lac et plusieurs palais datant des XVIIIe et XIXe siècles ajoutent au grand intérêt culturel de ce site.;Paysage culturel de Fertö / Neusiedlersee;Autriche,Hongrie;1;913
Cultural;(ii)(iv)(vi);;2005;0;https://whc.unesco.org/fr/list/1187;1187;https://whc.unesco.org/uploads/sites/site_1187.jpg;by,ee,fi,lv,lt,no,md,ru,se,ua;"L’arc de Struve est un réseau de triangulations qui s’étend de Hammerfest en Norvège jusqu’à la mer Noire et traverse 10 pays sur plus de 2 820 km. L’arc est formé par les points d’une triangulation réalisée entre 1816 et 1855 par l’astronome Friedrich Georg Wilhelm Struve et représentant la première mesure exacte d’un long segment de méridien. Cette triangulation a contribué à définir et mesurer la taille et la forme exactes de la Terre ; elle a joué un rôle essentiel dans le développement des sciences de la Terre et l’établissement de cartes topographiques précises. C’est un formidable exemple de collaboration scientifique entre chercheurs de différents pays et de coopération entre des monarques pour une cause scientifique. À l’origine, l’arc était constitué de 258 triangles principaux et de 265 points fixes principaux. Le site inscrit sur la liste comprend 34 des points fixes d’origine, avec différents marquages – trous percés dans la roche, croix en fer, cairns ou obélisques.";59.0577777778;;26.3377777777;Europe et Amérique du nord;0;;"L’arc de Struve est un réseau de triangulations qui s’étend de Hammerfest en Norvège jusqu’à la mer Noire et traverse 10 pays sur plus de 2 820 km. L’arc est formé par les points d’une triangulation réalisée entre 1816 et 1855 par l’astronome Friedrich Georg Wilhelm Struve et représentant la première mesure exacte d’un long segment de méridien. Cette triangulation a contribué à définir et mesurer la taille et la forme exactes de la Terre ; elle a joué un rôle essentiel dans le développement des sciences de la Terre et l’établissement de cartes topographiques précises. C’est un formidable exemple de collaboration scientifique entre chercheurs de différents pays et de coopération entre des monarques pour une cause scientifique. À l’origine, l’arc était constitué de 258 triangles principaux et de 265 points fixes principaux. Le site inscrit sur la liste comprend 34 des points fixes d’origine, avec différents marquages – trous percés dans la roche, croix en fer, cairns ou obélisques.";Arc géodésique de Struve;Bélarus,Estonie,Finlande,Lettonie,Lituanie,Norvège,République de Moldova,Fédération de Russie,Suède,Ukraine;1;1364
Natural;(ix)(x);;1979;1;https://whc.unesco.org/fr/list/33;33;https://whc.unesco.org/uploads/sites/site_33.jpg;by,pl;;52.7275000000;;23.9811111111;Europe et Amérique du nord;0;1992,2014;Le site du patrimoine mondial de la Forêt Bialowieża, sur la frontière entre la Pologne et la Bélarusse, est un vaste massif de forêt ancienne comprenant à la fois des conifères et des feuillus d’une superficie totale de 141 885 ha. Situé sur la ligne de partage des eaux entre la mer Baltique et la mer Noire, ce bien transfrontalier apparaît comme une région irremplaçable pour la conservation de la biodiversité. On y trouve la plus grande population de bisons d’Europe, l’espèce emblématique du bien.;Forêt Bialowieza;Bélarus,Pologne;1;2005
Cultural;(ii)(iv);;1999;1;https://whc.unesco.org/fr/list/943;943;https://whc.unesco.org/uploads/sites/site_943.jpg;be,fr;;50.1744400000;;3.2313900000;Europe et Amérique du nord;0;2005;Vingt-trois beffrois, situés dans le nord de la France, et le beffroi de Gembloux, en Belgique, ont été inscrits en 2005, comme une extension des 32 beffrois belges inscrits en 1999 sous le nom de Beffrois de Flandre et de Wallonie. Construits entre le XIe et le XVIIe siècle, ils illustrent les styles architecturaux roman, gothique, Renaissance et baroque. Ils constituent des symboles hautement significatifs de la conquête des libertés civiques. À une époque où la plupart des villes italiennes, allemandes et anglaises s’attachaient surtout à construire des hôtels de ville, dans une partie de l’Europe nord-occidentale, l’accent était mis sur l’édification de beffrois. Par opposition au donjon (symbole des seigneurs) et au clocher (symbole de l’Église), le beffroi, troisième tour du paysage urbain, représentait le pouvoir des échevins. Au fil des siècles, il est devenu le symbole de la puissance et de la prospérité des communes.;Beffrois de Belgique et de France;Belgique,France;1;1100
